tile_int,tile_vector,n_tiles,n_triplets,n_pairs,n_koritsu,n_terminals,n_ways
11133334557,3041201,11,2,1,3,5,384
11133334566,3041120,11,2,1,3,5,384
11133334567,3041111,11,2,0,5,6,1024
11133334577,3041102,11,2,1,3,5,384
11133334666,3041030,11,3,0,2,4,64
11133334667,3041021,11,2,1,3,5,384
11133334677,3041012,11,2,1,3,5,384
11133334777,3041003,11,3,0,2,4,64
11133335555,3040400,11,3,0,2,3,4
11133335556,3040310,11,3,0,2,4,64
11133335557,3040301,11,3,0,2,4,64
11133335566,3040220,11,2,2,1,4,144
11133335567,3040211,11,2,1,3,5,384
11133335577,3040202,11,2,2,1,4,144
11133335666,3040130,11,3,0,2,4,64
11133335667,3040121,11,2,1,3,5,384
11133335677,3040112,11,2,1,3,5,384
11133335777,3040103,11,3,0,2,4,64
11133336666,3040040,11,3,0,2,3,4
11133336667,3040031,11,3,0,2,4,64
11133336677,3040022,11,2,2,1,4,144
11133336777,3040013,11,3,0,2,4,64
11133337777,3040004,11,3,0,2,3,4
11133344445,3034100,11,3,0,2,4,64
11133344446,3034010,11,3,0,2,4,64
11133344447,3034001,11,3,0,2,4,64
11133344455,3033200,11,3,1,0,4,384
11133344456,3033110,11,3,0,2,5,1024
11133344457,3033101,11,3,0,2,5,1024
11133344466,3033020,11,3,1,0,4,384
11133344467,3033011,11,3,0,2,5,1024
11133344477,3033002,11,3,1,0,4,384
11133344555,3032300,11,3,1,0,4,384
11133344556,3032210,11,2,2,1,5,2304
11133344557,3032201,11,2,2,1,5,2304
11133344566,3032120,11,2,2,1,5,2304
11133344567,3032111,11,2,1,3,6,6144
11133344577,3032102,11,2,2,1,5,2304
11133344666,3032030,11,3,1,0,4,384
11133344667,3032021,11,2,2,1,5,2304
11133344677,3032012,11,2,2,1,5,2304
11133344777,3032003,11,3,1,0,4,384
11133345555,3031400,11,3,0,2,4,64
11133345556,3031310,11,3,0,2,5,1024
11133345557,3031301,11,3,0,2,5,1024
11133345566,3031220,11,2,2,1,5,2304
11133345567,3031211,11,2,1,3,6,6144
11133345577,3031202,11,2,2,1,5,2304
11133345666,3031130,11,3,0,2,5,1024
11133345667,3031121,11,2,1,3,6,6144
11133345677,3031112,11,2,1,3,6,6144
11133345777,3031103,11,3,0,2,5,1024
11133346666,3031040,11,3,0,2,4,64
11133346667,3031031,11,3,0,2,5,1024
11133346677,3031022,11,2,2,1,5,2304
11133346777,3031013,11,3,0,2,5,1024
11133347777,3031004,11,3,0,2,4,64
11133355556,3030410,11,3,0,2,4,64
11133355557,3030401,11,3,0,2,4,64
11133355566,3030320,11,3,1,0,4,384
11133355567,3030311,11,3,0,2,5,1024
